WEEKDAY,WEEK,MONTH,P_834,P_1159,P_1204,P_1209,P_1214,P_1219,P_1224,P_1229,P_1234,P_1239,P_1244,P_1249,P_1254,P_1259,CLOSE
6,1,1,-23,-15,-15,-14,-15,-17,-15,-15,-18,-20,-19,-18,-19,-19,-1
2,1,1,-13,-1,1,2,3,2,3,4,3,3,3,4,4,3,1
3,1,1,-6,-8,-7,-7,-6,-6,-7,-7,-6,-7,-8,-7,-7,-6,-1
4,2,1,5,22,22,20,20,20,20,21,21,22,21,21,20,19,-1
5,2,1,19,16,17,16,16,15,14,17,17,16,18,18,17,17,1
6,2,1,3,-2,0,1,2,2,2,1,2,1,2,3,1,1,-1
2,2,1,4,16,16,17,17,17,17,17,16,16,16,16,16,16,1
3,2,1,-4,3,5,4,4,5,6,5,6,3,-3,-2,-2,-4,1
4,3,1,4,7,7,7,7,8,6,7,7,7,7,7,4,5,1
5,3,1,16,17,17,17,16,16,16,16,17,18,18,19,18,18,1
6,3,1,5,6,7,8,8,9,7,7,8,7,7,7,8,7,1
3,3,1,-7,0,1,1,0,-4,-4,-5,-7,-8,-7,-8,-9,-10,1
4,4,1,11,8,8,8,9,10,10,10,9,10,10,9,9,7,-1
5,4,1,-16,-12,-12,-12,-11,-10,-5,-8,-7,-8,-5,-4,-4,-3,1
6,4,1,3,-21,-26,-24,-28,-29,-25,-30,-31,-30,-33,-36,-35,-34,1
2,4,1,-50,-41,-39,-43,-42,-40,-40,-40,-39,-38,-40,-40,-43,-42,-1
3,4,1,15,37,34,33,34,34,35,34,33,32,35,36,36,36,-1
4,5,1,13,9,10,7,9,10,11,12,13,12,12,12,11,11,-1
5,5,1,-14,-24,-23,-25,-24,-26,-24,-23,-21,-22,-21,-22,-22,-22,1
6,5,1,-12,-51,-50,-53,-55,-55,-52,-54,-55,-58,-60,-57,-56,-53,-1
2,1,2,22,31,30,29,25,26,27,25,26,29,28,29,28,29,-1
3,1,2,39,56,56,55,53,52,51,51,52,53,53,54,54,55,-1
4,1,2,29,29,28,27,27,27,28,28,28,28,31,31,30,30,1
5,1,2,6,12,13,12,10,10,10,9,9,7,8,9,9,10,1
6,1,2,-19,-8,-9,-10,-11,-10,-10,-9,-12,-13,-13,-15,-14,-17,1
2,2,2,-2,8,9,9,10,10,11,10,11,11,10,10,10,10,1
3,2,2,10,16,17,17,17,16,15,15,14,14,15,13,9,12,-1
4,2,2,19,18,16,15,15,15,14,15,16,17,17,17,16,18,1
5,2,2,-11,-3,-2,-3,-3,-2,-1,1,1,1,4,5,3,4,-1
6,2,2,5,-3,-2,-6,-4,-6,-4,-5,-3,-3,-3,-4,-5,-6,1
3,3,2,-7,-15,-13,-11,-13,-13,-12,-13,-13,-14,-14,-14,-16,-14,1
4,3,2,11,21,21,21,21,21,20,21,20,20,20,20,20,20,-1
5,3,2,-3,-27,-28,-23,-19,-22,-22,-22,-20,-24,-26,-24,-24,-25,1
6,3,2,-16,-30,-28,-30,-33,-32,-33,-35,-36,-37,-37,-39,-44,-39,1
2,4,2,-92,-112,-119,-119,-120,-120,-119,-110,-110,-108,-110,-106,-106,-106,-1
3,4,2,9,-54,-55,-51,-53,-61,-59,-59,-61,-66,-61,-64,-66,-74,-1
4,4,2,19,16,18,11,11,10,10,14,-2,-14,-19,-2,-7,-16,1
5,4,2,-68,-38,-30,-29,-26,-35,-39,-47,-49,-57,-72,-63,-54,-72,-1
6,4,2,-60,-30,-41,-30,-50,-39,-43,-48,-66,-67,-79,-76,-80,-74,1
2,1,3,8,71,73,63,62,53,52,48,49,59,61,53,47,60,1
3,1,3,-14,-41,-49,-50,-56,-63,-66,-65,-59,-61,-84,-84,-84,-90,1
4,1,3,63,77,81,81,82,88,91,87,90,84,85,87,92,88,1
5,1,3,-71,-105,-105,-109,-111,-112,-108,-100,-96,-98,-103,-92,-103,-95,1
6,1,3,-92,-80,-75,-73,-78,-74,-61,-69,-74,-70,-75,-83,-91,-89,1
3,2,3,-130,-193,-201,-182,-179,-177,-176,-184,-176,-187,-192,-204,-209,-205,1
4,2,3,-72,-122,-136,-137,-136,-129,-132,-121,-126,-132,-138,-128,-134,-128,-1
6,2,3,-132,-192,-199,-199,-182,-178,-165,-159,-163,-167,-159,-149,-149,-151,1
3,3,3,-275,-230,-233,-245,-262,-257,-252,-252,-238,-233,-228,-222,-228,-224,1
5,3,3,-190,-126,-129,-128,-129,-125,-119,-130,-126,-125,-121,-116,-93,-104,-1
6,3,3,23,-27,-20,-12,-23,-15,-28,-28,-27,-23,-28,-33,-30,-23,-1
2,4,3,-15,-14,-35,-23,-1,-9,-17,-34,-33,-48,-54,-22,-40,-59,-1
3,4,3,146,177,176,165,174,169,168,174,176,179,172,164,157,152,1
4,4,3,28,72,78,96,88,101,102,101,106,110,120,121,107,104,-1
5,4,3,39,118,121,104,98,100,94,91,87,94,102,103,103,98,1
6,4,3,-78,-62,-60,-69,-72,-69,-66,-72,-56,-47,-50,-46,-50,-57,-1
2,5,3,30,68,63,57,60,64,64,63,63,62,56,60,62,56,1
3,5,3,-14,-24,-25,-23,-24,-29,-33,-31,-29,-25,-24,-21,-26,-17,-1
4,1,4,-94,-115,-108,-111,-113,-112,-105,-107,-113,-108,-104,-105,-101,-98,-1
5,1,4,10,50,51,41,34,28,30,20,21,21,30,26,32,23,1
6,1,4,-5,-43,-42,-38,-48,-42,-48,-52,-57,-59,-58,-55,-57,-59,1
2,1,4,88,144,140,140,140,139,140,140,138,141,145,148,146,148,1
3,1,4,88,78,80,76,79,70,73,73,68,65,65,65,62,60,-1
4,2,4,27,64,64,63,65,67,69,63,59,53,53,54,57,52,1
5,2,4,31,65,62,66,64,65,65,68,66,56,59,52,54,58,-1
2,2,4,-22,-50,-53,-49,-56,-54,-56,-54,-50,-46,-43,-46,-39,-42,1
3,2,4,57,74,71,71,72,69,75,74,78,77,77,81,83,83,1
4,3,4,-64,-66,-65,-63,-58,-55,-59,-62,-66,-68,-66,-64,-68,-68,0
5,3,4,10,-6,-8,-8,-4,-3,-3,-1,1,-1,3,-1,-6,-4,1
6,3,4,55,52,52,54,51,56,50,49,49,53,53,47,49,50,1
2,3,4,-43,-13,-20,-18,-22,-21,-26,-21,-23,-22,-20,-21,-18,-19,-1
3,3,4,-50,-82,-79,-80,-82,-79,-74,-72,-72,-67,-68,-78,-74,-76,-1
4,4,4,51,57,55,55,57,58,60,63,60,59,63,63,64,63,-1
5,4,4,24,19,24,23,28,21,11,11,17,13,7,3,1,7,-1
6,4,4,16,12,10,10,9,10,10,13,11,14,18,18,20,25,1
2,4,4,21,41,37,39,38,34,33,36,34,35,33,33,36,36,1
3,4,4,35,2,4,3,0,-1,3,3,1,0,8,7,7,3,-1
4,5,4,53,82,85,88,87,88,84,83,78,79,76,80,78,79,-1
5,5,4,-27,-33,-38,-35,-29,-31,-32,-35,-36,-38,-38,-39,-39,-41,1
6,1,5,-45,-82,-78,-81,-84,-87,-89,-83,-84,-88,-86,-87,-88,-85,1
2,1,5,-28,-17,-16,-16,-20,-23,-21,-20,-18,-18,-19,-15,-15,-14,1
3,1,5,36,48,47,46,46,47,46,49,51,50,50,52,53,52,-1
4,1,5,19,4,2,2,2,5,2,5,6,9,9,9,10,8,-1
5,1,5,38,50,51,51,52,49,47,47,49,47,48,48,44,45,-1
6,2,5,30,43,44,39,41,39,38,38,39,38,35,32,32,34,1
2,2,5,-23,5,6,11,10,12,11,12,13,15,11,11,11,9,-1
3,2,5,10,0,-6,-5,-11,-15,-19,-18,-15,-15,-16,-14,-12,-11,-1
4,2,5,-21,-49,-57,-60,-51,-47,-54,-52,-56,-52,-54,-53,-60,-59,1
5,2,5,-29,7,3,3,4,8,9,16,14,12,9,12,9,4,1
6,3,5,-32,-9,-5,-6,1,-4,-4,-2,-3,-3,-4,-7,-2,0,1
2,3,5,69,86,90,90,92,93,94,96,93,94,92,93,94,94,-1
3,3,5,-10,2,0,2,3,4,4,4,5,5,7,6,5,6,-1
4,3,5,37,49,48,43,47,45,42,42,43,47,48,48,46,46,1
5,3,5,-3,-21,-14,-17,-16,-17,-17,-17,-18,-20,-18,-17,-18,-18,-1
6,4,5,-7,-4,-2,-4,-5,-3,0,-1,-2,-2,-2,-3,-4,0,1
3,4,5,60,57,58,57,57,58,59,61,59,60,60,58,59,58,-1
4,4,5,25,11,12,11,11,12,11,12,6,13,11,11,12,12,1
5,4,5,5,29,31,30,31,29,31,32,32,33,33,31,31,31,-1
6,5,5,-7,-13,-18,-16,-14,-14,-15,-16,-16,-20,-20,-20,-20,-18,1
2,1,6,-6,14,16,16,17,17,18,18,18,20,20,19,18,17,-1
3,1,6,7,8,10,12,13,13,13,13,13,14,15,14,14,15,1
4,1,6,26,31,33,32,34,34,35,35,34,34,35,32,33,33,1
5,1,6,-11,-17,-18,-14,-14,-15,-17,-17,-15,-12,-8,-8,-7,-8,-1
6,1,6,64,89,88,89,88,90,93,94,92,90,90,88,89,88,-1
2,2,6,16,16,16,18,19,19,19,19,24,26,25,25,25,26,1
3,2,6,-32,-19,-18,-18,-20,-19,-14,-13,-12,-13,-11,-13,-14,-13,-1
4,2,6,1,-6,-9,-4,-7,-5,-6,-8,-6,-7,-8,-6,-7,-9,-1
5,2,6,-78,-149,-137,-141,-137,-138,-134,-143,-140,-148,-153,-149,-144,-144,-1
6,2,6,72,31,18,21,18,15,10,11,1,-2,-2,-13,-11,-19,1
2,3,6,-83,-10,-9,-5,-5,-6,-10,-9,-12,-8,-12,-15,-12,-13,1
3,3,6,74,65,66,67,67,71,70,68,62,59,65,62,55,58,-1
4,3,6,7,6,9,10,9,8,9,11,12,14,13,13,12,8,-1
5,3,6,-15,-2,-3,-1,-1,0,-1,0,1,4,2,2,3,2,1
6,3,6,35,1,-4,-6,-6,-10,-17,-15,-21,-12,-12,-17,-19,-25,1
2,4,6,-12,20,20,20,18,19,19,17,18,16,18,20,19,19,1
3,4,6,25,30,32,33,33,34,36,36,34,37,35,37,35,36,-1
4,4,6,-25,-69,-68,-71,-74,-71,-77,-82,-87,-86,-87,-83,-83,-83,1
5,4,6,-6,6,3,2,4,6,4,4,2,9,6,8,6,5,1
6,4,6,-14,-56,-54,-51,-55,-54,-53,-53,-51,-50,-53,-52,-54,-56,-1
2,5,6,5,33,32,32,34,34,34,35,35,40,38,39,37,36,1
3,5,6,-1,19,19,16,17,17,18,20,18,18,15,18,21,21,1
4,1,7,22,24,22,20,22,22,25,24,23,26,21,21,22,24,-1
5,1,7,45,32,30,31,30,29,32,31,32,33,35,37,36,33,-1
2,1,7,42,43,43,42,41,39,41,44,44,43,44,43,44,45,1
3,1,7,-14,-7,-7,-11,-11,-10,-9,-8,-8,-8,-7,-7,-10,-8,-1
4,2,7,15,12,11,11,9,5,2,2,5,6,5,5,2,1,1
5,2,7,6,-27,-24,-22,-21,-21,-23,-23,-22,-22,-25,-25,-27,-28,1
6,2,7,-7,14,14,15,13,13,15,16,14,16,19,21,22,21,1
2,2,7,26,41,42,41,42,47,47,47,48,48,47,44,45,43,-1
3,2,7,-8,4,1,-3,3,3,6,6,10,15,16,17,20,15,1
4,3,7,34,22,21,26,24,24,24,25,27,27,27,26,24,22,-1
5,3,7,-27,-22,-20,-17,-14,-14,-15,-13,-16,-17,-18,-15,-16,-20,1
6,3,7,7,4,5,7,5,3,7,6,4,4,7,6,5,5,1
2,3,7,3,13,13,12,13,15,15,16,15,15,18,19,20,20,1
3,3,7,20,20,18,19,16,18,18,20,21,21,21,22,23,22,-1
4,4,7,1,9,8,8,9,10,10,8,6,6,7,2,0,-2,1
5,4,7,-4,-16,-11,-13,-12,-17,-21,-19,-23,-25,-31,-36,-36,-33,1
6,4,7,-21,-27,-27,-32,-36,-34,-31,-28,-31,-30,-27,-23,-24,-24,1
2,4,7,3,15,16,15,17,16,17,18,18,19,18,17,17,16,1
3,4,7,-4,-1,-2,-1,-4,-2,1,0,2,3,2,4,4,4,-1
4,5,7,14,27,26,28,29,29,30,30,29,29,29,29,29,28,1
5,5,7,-28,-16,-13,-12,-9,-8,-11,-14,-17,-19,-16,-18,-14,-14,1
6,5,7,12,-23,-20,-20,-20,-20,-15,-13,-16,-17,-13,-11,-11,-14,1
2,1,8,15,24,24,24,25,25,27,26,26,26,24,24,26,25,-1
3,1,8,-3,2,-1,1,4,6,6,5,4,5,4,3,6,6,1
4,1,8,13,18,16,17,18,18,18,19,19,19,18,17,17,18,1
5,1,8,-3,4,4,3,3,3,5,4,3,4,4,7,8,8,1
6,1,8,-9,-5,-6,-11,-12,-11,-10,-7,-6,-3,-4,-10,-13,-13,1
2,2,8,6,6,7,8,6,7,7,7,7,8,6,6,7,6,1
3,2,8,11,14,13,16,14,15,20,19,17,17,16,14,15,17,-1
4,2,8,31,42,43,41,41,39,40,39,41,44,45,47,48,50,-1
5,2,8,-7,7,6,5,6,5,2,2,-3,-1,1,4,5,2,-1
6,2,8,-8,2,1,1,3,3,2,3,4,4,3,4,5,6,-1
2,3,8,11,13,13,13,13,13,13,12,13,13,13,12,12,12,-1
3,3,8,6,8,8,10,9,9,7,8,9,10,9,10,10,8,-1
4,3,8,4,5,5,5,6,7,6,5,7,7,8,8,8,7,-1
5,3,8,-14,1,2,-1,1,1,2,2,4,4,5,3,3,3,1
6,3,8,-3,3,3,4,4,3,2,3,4,6,5,6,5,6,1
2,4,8,24,22,25,26,25,24,25,24,23,24,22,21,23,23,1
3,4,8,2,1,0,2,2,3,3,4,4,4,4,3,3,3,1
4,4,8,4,25,28,27,26,28,28,26,27,29,27,29,28,30,1
5,4,8,4,-6,-7,-1,3,3,4,7,6,6,6,5,2,11,-1
6,4,8,7,14,13,11,8,10,9,5,6,7,8,7,11,10,1
2,5,8,-4,0,-1,-1,1,1,1,0,1,0,1,2,1,1,-1
3,1,9,2,19,17,17,16,17,17,17,16,19,22,21,20,20,1
4,1,9,14,30,29,30,36,37,39,39,40,41,41,40,39,39,1
5,1,9,-21,-121,-133,-122,-110,-122,-118,-109,-124,-127,-129,-131,-119,-122,-1
6,1,9,21,-46,-58,-55,-55,-68,-61,-62,-67,-57,-59,-55,-52,-51,1
3,2,9,-66,-59,-61,-65,-58,-55,-56,-58,-58,-54,-53,-52,-51,-55,-1
4,2,9,42,79,84,87,88,83,86,85,86,86,80,82,83,79,-1
5,2,9,25,-13,-8,-7,-10,-2,-6,-12,-8,-14,-16,-14,-21,-20,-1
6,2,9,12,-8,-8,-14,-16,-15,-18,-22,-26,-20,-17,-16,-17,-25,1
2,2,9,22,45,44,39,40,34,35,37,33,34,33,37,40,38,-1
3,3,9,29,33,33,34,34,33,32,31,31,32,31,31,30,27,-1
4,3,9,13,11,12,10,10,10,8,6,6,4,6,7,9,11,-1
5,3,9,-51,-44,-46,-45,-46,-51,-50,-48,-43,-44,-42,-40,-42,-45,1
6,3,9,3,-37,-38,-42,-37,-42,-45,-55,-54,-56,-55,-53,-49,-47,1
2,3,9,-54,-75,-77,-75,-70,-70,-64,-64,-63,-61,-67,-69,-73,-71,1
3,4,9,15,3,4,6,9,10,12,13,12,14,16,19,20,21,1
